antecedent,consequent,confidence,lift,support
"['good', 'like', 'read']",['book'],0.9097744360902256,1.2019209410142075,0.045567320898498076
"['first', 'like', 'read']",['book'],0.9065442020665901,1.1976534151711324,0.04372867839262771
"['think', 'good']",['book'],0.9047261815453863,1.1952515924237062,0.04007354570023482
"['think', 'one', 'read']",['book'],0.9041095890410958,1.194436999912002,0.04093748615480041
"['much', 'like', 'read']",['book'],0.9040537299112497,1.1943632033144655,0.04174604581099641
"['reading', 'like', 'read']",['book'],0.9025206335043497,1.192337799430877,0.04481414204067166
"['people', 'one', 'read']",['book'],0.9016357688113413,1.1911687872424697,0.04578884409197643
"['many', 'like', 'read']",['book'],0.9011152416356877,1.1904811085300695,0.04027291657436534
"['really', 'one', 'read']",['book'],0.899822695035461,1.1887734997378006,0.04496920827610651
"['books', 'like', 'read']",['book'],0.8973626373626373,1.1855234690535177,0.04522395994860662
"['reading', 'time', 'read']",['book'],0.8966625463535228,1.184598565021166,0.04017323113730008
"['think', 'read']",['book'],0.8960444136016655,1.1837819376580396,0.07150768685481369
"['really', 'reading']",['book'],0.8958673826756947,1.1835480586121017,0.042499224668822826
"['time', 'like', 'read']",['book'],0.8951351351351351,1.1825806719521874,0.045855301050019934
"['get', 'one', 'read']",['book'],0.8933363148479427,1.1802042150123893,0.044249257897301844
"['things', 'read']",['book'],0.8930262591476539,1.1797945943149122,0.045954986487085195
"['recommend', 'read']",['book'],0.8929697644221851,1.17971995801947,0.05332063267024057
"['recommend', 'one']",['book'],0.8923114237205918,1.1788502111413675,0.04074919144034381
"['say', 'read']",['book'],0.8919348430671434,1.17835270301693,0.049731956935891185
"['also', 'one', 'read']",['book'],0.8918759811616954,1.1782749393933554,0.05034114571795667
"['also', 'books']",['book'],0.8917490232130545,1.1781072127448078,0.042975499534801294
"['way', 'one', 'read']",['book'],0.8911366006256517,1.177298129192501,0.04732843028665101
"['think', 'like']",['book'],0.8910207214121258,1.1771450388792983,0.051437685525674536
"['people', 'much']",['book'],0.889105532537168,1.1746148451043426,0.04040583049045235
"['reading', 'one', 'read']",['book'],0.888610972152743,1.1739614716316926,0.05902485490230827
"['books', 'like', 'one']",['book'],0.888507326007326,1.173824542665907,0.04298657569447521
"['first', 'one', 'read']",['book'],0.8883415435139573,1.1736055241460093,0.05992202383589562
"['much', 'one', 'read']",['book'],0.8875517111696126,1.1725620610667014,0.05227947366089229
"['really', 'read']",['book'],0.8874339259971168,1.172406452753533,0.08181959151123122
"['know', 'read']",['book'],0.8874122741526056,1.1723778480749476,0.06582561694209384
"['even', 'reading']",['book'],0.8871578010238148,1.1720416586083218,0.04414957246023659
"['people', 'read']",['book'],0.8867948393625095,1.1715621428028622,0.0776549554738381
"['put', 'read']",['book'],0.8865979381443299,1.1713020127222036,0.04476983740197599
"['good', 'one', 'read']",['book'],0.8862660944206009,1.1708636074374739,0.05489344734393691
"['many', 'one', 'read']",['book'],0.8861106041248403,1.1706581861427163,0.05377475521687121
"['like', 'one', 'read']",['book'],0.885841664415023,1.1703028845907306,0.0726263789818794
"['really', 'much']",['book'],0.8856453558504221,1.1700435374763973,0.04066058216295246
"['first', 'time', 'read']",['book'],0.8856105310939628,1.1699975298041725,0.043219175047627484
"['want', 'read']",['book'],0.8855149000377216,1.1698711897306904,0.052002569669044346
"['made', 'read']",['book'],0.8852170081515752,1.1694776388878505,0.04450400956980196
"['even', 'one', 'read']",['book'],0.8848639122772665,1.169011156968067,0.050053165566434805
"['anyone', 'read']",['book'],0.8846068166629539,1.1686715028841237,0.04398343006512782
"['way', 'reading']",['book'],0.8833729216152019,1.1670413798139698,0.04119223782730052
"['reading', 'good']",['book'],0.8832624661770391,1.1668954549573127,0.050618049709804616
"['books', 'good']",['book'],0.8826599652039435,1.1660994790452426,0.05057374507110895
"['really', 'like']",['book'],0.8823058446757406,1.1656316434350014,0.061029639803287405
"['much', 'reading']",['book'],0.8822351291808532,1.1655382198007602,0.04879048336360817
"['thought', 'read']",['book'],0.882127659574468,1.1653962395853212,0.045921758008063446
"['many', 'reading']",['book'],0.8816786079836233,1.1648029886769407,0.04770501971556422
"['really', 'good']",['book'],0.8813008130081301,1.164303876287713,0.048026228346107834
